Reference number,Company Payment Type,Delivering City,Shipment Details,Cash on Delivery,Exp Delivery Fees,Shipment Status,Creation Date,Perfume_Count
2198F,الدفع بعد الوصول,Amman,فلانتينو بورن ان روما ستاتي ١٠٠ عدد ٢/ مس ديور بلومينج ٥٠ عدد٢/ كل عبوتين بكيس,34,1٫5,yes,9/23/2024 12:57:12 AM,4
2199F,الدفع بعد الوصول,Amman,ان لوف وذ يو ١٠٠/فرزاتشي برايت كريستال ١٠٠+ ٥٠/ بويزن ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
21910F,الدفع بعد الوصول,Amman,واي ١٠٠/جوتشي جلتي بلاك رجالي١٠٠/بوس ذا سنت ٥٠/ خمرة ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
21911F,الدفع بعد الوصول,Amman,ليدي مليون ٥٠,0,1٫5,yes,9/23/2024 12:57:12 AM,1
21912F,الدفع بعد الوصول,Amman,ديور هوم انتنس ١٠٠/ارماني كود ١٠٠/سكاندل رجالي٥٠/ الترا ميل ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
21913F,الدفع بعد الوصول,Amman,رولورتو كفالي بردايسو ازورو ١٠٠/سوفاج ١٠٠/ جوتشي جلتي ستاتي ٥٠/فيري سكسي ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
21914F,الدفع بعد الوصول,Zarqa,ارماني كود ١٠٠/ جين برل جلتر ١٠٠/ سوفاج ٥٠/ايروس ٥٠,34,1٫75,yes,9/23/2024 12:57:12 AM,4
21915F,الدفع بعد الوصول,Irbid,سوفاج ١٠٠,0,1٫75,yes,9/23/2024 12:57:12 AM,1
21917F,الدفع بعد الوصول,Zarqa,يو انتنسلي ١٠٠جادور ١٠٠/ سوفاجزالكسير ٥٠ / سكاندل ستاتي ٥٠,0,1٫75,yes,9/23/2024 12:57:12 AM,3
21918F,الدفع بعد الوصول,Irbid,انفكتوس ١٠٠/سوفاج ١٠٠/ون مليون ٥٠:ارماني كود ٥٠,34,0,No,9/23/2024 12:57:12 AM,3
21919F,الدفع بعد الوصول,Aqaba,سوفاج ١٠٠/ يو انتنسلي ١٠٠/ سكاندل رحالي ٥٠/ جين بول جلتر٥٠,34,1٫75,yes,9/23/2024 12:57:12 AM,4
21920F,الدفع بعد الوصول,Zarqa,اكوا جيو الشفافت ١٠٠/مستر بيربري ١٠٠/كنج ٥٠/يو ٥٠,34,1٫75,yes,9/23/2024 12:57:12 AM,4
21921F,الدفع بعد الوصول,Irbid,فيري سكسي ٥٠/سكاندل ٥٠,20,1٫75,No,9/23/2024 12:57:12 AM,2
21922F,الدفع بعد الوصول,Salt,جين بول جلتر ١٠٠,0,1٫75,yes,9/23/2024 12:57:12 AM,1
21923F,الدفع بعد الوصول,Irbid,بلاك اكس اس لكزس ١٠٠/ لافي بيل ١٠٠/ سماندل رجالي ٥٠/ ارماني كود ٥٠,34,1٫75,yes,9/23/2024 12:57:12 AM,4
21924F,الدفع بعد الوصول,Rumtha,واي١٠٠,19,1٫75,yes,9/23/2024 12:57:12 AM,1
21925F,الدفع بعد الوصول,Amman,بيربري هيرو ١٠٠,0,1٫5,yes,9/23/2024 12:57:12 AM,1
21926F,الدفع بعد الوصول,Amman,ميد نايت روز ١٠٠/ سي اتش ليمتيد اديشن ١٠٠,0,1٫5,yes,9/23/2024 12:57:12 AM,2
21927F,الدفع بعد الوصول,Salt,لاكوست بلاك ١٠٠/ لاكوست وايت ١٠٠/ع زوقك ٥٠,0,1٫75,yes,9/23/2024 12:57:12 AM,3
21928F,الدفع بعد الوصول,Amman,ديور هوم انتنس ١٠٠/امبر نوماد١٠٠/ سبايس بومب ٥٠/ذا ون ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
21929F,الدفع بعد الوصول,Irbid,انفكتوس فكتوري١٠٠/ واي ١٠٠/ مونت بلانك اكسبلور بلاتينيوم ٥٠/ ذا ون ٥٠,34,1٫75,yes,9/23/2024 12:57:12 AM,4
21930F,الدفع بعد الوصول,Amman,ديلينا ١٠٠,19,1٫5,yes,9/23/2024 12:57:12 AM,1
21931F,الدفع بعد الوصول,Zarqa,عود وود ١٠٠,19,1٫75,No,9/23/2024 12:57:12 AM,1
21932F,الدفع بعد الوصول,Mafraq,خمرة ١٠٠/ جادور ١٠٠/ فيري سكسي ٥٠/لافي بيل ٥٠,34,1٫75,No,9/23/2024 12:57:12 AM,4
21933F,الدفع بعد الوصول,Irbid,ايروس١٠٠ عدد٢/ لاكوست وايت ٥٠ عدد٢,0,1٫75,yes,9/23/2024 12:57:12 AM,4
21934F,الدفع بعد الوصول,Madaba,يو ١٠٠/ جين بول جلتر١٠٠,25,1٫75,yes,9/23/2024 12:57:12 AM,2
21935F,الدفع بعد الوصول,Amman,امبر ليذر ١٠٠/ يو انتنسلي١٠٠/لايتون اكسلوسف ٥٠/واي ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
21936F,الدفع بعد الوصول,Irbid,بلو شانيل ١٠٠/ كوكو مدموزيل ١٠٠,27,1٫75,No,9/23/2024 12:57:12 AM,2
21937F,الدفع بعد الوصول,Amman,ايروس١٠٠/امير ليذر ١٠٠/ ذا كنج ٥٠/ ارماني كود ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
21938F,الدفع بعد الوصول,Amman,كريد افنتوس١٠٠/دي مارلي الاسود ١٠٠/واي ٥٠/ ارماني كود ٥٠,34,1٫5,yes,9/23/2024 12:57:12 AM,4
RTN2193w,الدفع بعد الوصول,Amman,100مل دنهل بلو +50مل انفكتوس جولوجن ,0,1٫5,No,9/23/2024 10:18:29 AM,2
RTN21925F,الدفع بعد الوصول,Amman,بيربري هيرو ١٠٠,0,1٫5,No,9/23/2024 11:05:36 AM,1
RTN21917F,الدفع بعد الوصول,Zarqa,يو انتنسلي ١٠٠جادور ١٠٠/ سوفاجزالكسير ٥٠ / سكاندل ستاتي ٥٠,0,1٫75,No,9/23/2024 1:07:08 PM,3
RTN21926F,الدفع بعد الوصول,Amman,ميد نايت روز ١٠٠/ سي اتش ليمتيد اديشن ١٠٠,0,1٫5,No,9/23/2024 1:20:37 PM,2
RTN21911F,الدفع بعد الوصول,Amman,ليدي مليون ٥٠,0,1٫5,No,9/23/2024 1:38:46 PM,1
RTN21915F,الدفع بعد الوصول,Irbid,سوفاج ١٠٠,0,1٫75,No,9/23/2024 1:56:59 PM,1
RTN2192FF,الدفع بعد الوصول,Amman,لانترد روج ٥٠,0,1٫5,No,9/23/2024 7:23:29 PM,1
2291w,الدفع بعد الوصول,Zarqa,100مل ايفوريا انتنس +100مل لوسيل ابيض +50مل عنبر ليذر +50مل يو انتتسلي ,0,1٫75,yes,9/24/2024 1:11:46 AM,4
2292w,الدفع بعد الوصول,Irbid,100مل هوجو بوس +100مل ايروس +50مل لاكوست وايت +50مل دولتشي غابانا كينغ ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
2293w,الدفع بعد الوصول,Amman,. 100مل سترونجر ويذ يو +100مل بلو شانيل +50مل سوفاج الكسير +50مل 212 رجالي ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
2294w,الدفع بعد الوصول,Mafraq,100مل بلو شانيل +100مل سوفاج +50مل بوس بوتيلد عدد 2 ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
2295w,الدفع بعد الوصول,Salt,100مل سوفاج +100مل بلو شانيل +50مل سترونجر ويذ يو +50مل كريد افنتوس ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
2296w,الدفع بعد الوصول,Jarash,100مل دولتشي غابانا ذا ون +100مل مونت بلانك امبلمب +50مل اينترديت روج +50مل سكادا ماغنزيوم ,34,1٫75,No,9/24/2024 1:11:46 AM,4
2297w,الدفع بعد الوصول,Irbid,100مل بلو شانيل +100مل سترونجر ويذ يو +50مل هوجو بوس +50مل سترونجر ويذ يو ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
2298w,الدفع بعد الوصول,Zarqa,100مل كريد افنتوس +100مل ايروس +50مل اف سان لوران واي +50مل التراميل ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
2299w,الدفع بعد الوصول,Karak,50مل دنهل ايكون ,10,1٫75,yes,9/24/2024 1:11:46 AM,1
22910w,الدفع بعد الوصول,Amman,100مل جوتشي جيلتي بور هوم رجالي عدد 3  ,0,1٫5,yes,9/24/2024 1:11:46 AM,3
22911w,الدفع بعد الوصول,Mafraq,100مل سترونجر ويذ يو انتنسلي +100مل اكوا دي جيو +50مل توباكو فانيلا +50مل جنتل مان جفنشي ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
22912w,الدفع بعد الوصول,Irbid,100مل اف سان لوران واي ,17,1٫75,yes,9/24/2024 1:11:46 AM,1
22913w,الدفع بعد الوصول,Salt,100مل نيشان +100مل بولو ريد +50مل روبيرتو كافالي وودز+50مل دولتشي غابانا كينغ ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
22914w,الدفع بعد الوصول,Amman,100مل جيرلان بيرفيوم +100مل 212 nyc+٥٠مل انفكتوس جولوجن +50مل توم فورد اومبير ليذر ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22916w,الدفع بعد الوصول,Amman,100مل ديور هوم انتنس +100مل جفنشي بور هوم +50مل دنهل ايكون +50مل ايفوريا مان ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22918w,الدفع بعد الوصول,Amman,100مل بولغاري تايجر +100مل ارسيتستبل جفنشي +50مل ايروس +50مل سوفاج ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22919w,الدفع بعد الوصول,Amman,100مل شانيل بلانتينيوم +100مل سوفاج +50مل توم فورد عود وود عدد 2 ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22920w,الدفع بعد الوصول,Amman,100مل كريد افنتوس +100مل اف سان لوران واي +50مل ايروس +50مل توم فورد اومبير ليذر ,0,1٫5,yes,9/24/2024 1:11:46 AM,4
22921w.,الدفع بعد الوصول,Amman,100مل ريد توباكو +100مل اومبير نوماد +50مل كريد افنتوس +50مل اف سان لوران واي ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22922w,الدفع بعد الوصول,Mafraq,100مل ديور هوم انتنس + 100مل سترونجر ويذ يو انتنسلي +50مل ذا ون تواليت +50مل بلو شانيل ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
22923w,الدفع بعد الوصول,Irbid,100مل ميغامير ,0,1٫75,yes,9/24/2024 1:11:46 AM,1
22924w,الدفع بعد الوصول,Amman,100مل كريد افنتوس +100مل انفكتوس جولوجن +50مل ايروس +50مل دنهل بلاك ,0,1٫5,yes,9/24/2024 1:11:46 AM,4
22925w,الدفع بعد الوصول,Karak,100مل ايروس عدد 2 +50مل مونت بلانك اكسبلور +50مل دولتشي غابانا كينغ ,34,1٫75,yes,9/24/2024 1:11:46 AM,4
22926w,الدفع بعد الوصول,Amman,100مل نارسيسو باودر +100مل سوفاج +50مل ايلي صعب ستاتي +50مل لاكوست وايت ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22927w,الدفع بعد الوصول,Amman,100مل فرزاتشي كريستال نوير +100مل انفكتوس جولوجن +50مل سوفاج +50مل ليبر ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22928w,الدفع بعد الوصول,Amman,100مل جيرلان مون +100مل مونتال روز ميوزك+50مل عود اصفهان +50مل جيرلان انسولانس ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
22929w,الدفع بعد الوصول,Amman,100مل ارسيتستبل جفنشي +100مل سترونجر ويذ يو ,25,1٫5,No,9/24/2024 1:11:46 AM,2
22930w,الدفع بعد الوصول,Amman,100مل سترونجر ويذ يو انتتسلي +100مل توم فورد اومبير ليذر +50مل اكوا دي جيو بروفومو +50مل كريد افنتوس بلاك ,34,1٫5,yes,9/24/2024 1:11:46 AM,4
2291F,الدفع بعد الوصول,Aqaba,ذا كنج ١٠٠/هشيفات ١٠٠/كرش اون مي ٥٠/ امواج انترلود ٥٠,34,1٫75,yes,9/24/2024 1:11:46 AM,4
2292F,الدفع بعد الوصول,Rumtha,دي مارلي اسود ١٠٠/امبر ليذر ١٠٠/الترا ميل ٥٠/ ارماني كود ٥٠,0,1٫75,yes,9/24/2024 1:11:46 AM,4
2293F,الدفع بعد الوصول,Zarqa,فهرنهايت ١٠٠,19,1٫75,yes,9/24/2024 1:11:46 AM,1
2295F,الدفع بعد الوصول,Amman,هشيفات ١٠٠/ لاهوم لانوت اف سان لوران ١٠٠/جيو بروفومو٥٠/ جين بول جلتر ٥٠,34,1٫5,yes,9/24/2024 1:11:46 AM,4
2296F,الدفع بعد الوصول,Amman,جين بول جلتر٥٠,0,1٫5,yes,9/24/2024 1:11:46 AM,1
2297F,الدفع بعد الوصول,Amman,امبريال فالي ١٠٠/ خمرة ٥٠/جين بول جلتر١٠٠/ يو انتنسلي٥٠,34,1٫5,yes,9/24/2024 1:11:47 AM,4
2298F,الدفع بعد الوصول,Zarqa,بلو شانيل ١٠٠/ون مليون الكسير ١٠٠/سي ٥٠/انترنتي ستاتي ٥٠,34,1٫75,yes,9/24/2024 1:11:47 AM,4
2299F,الدفع بعد الوصول,Tafilah,امبر ليذر ١٠٠/ ديور هوم انتنس١٠٠/جيو بروفومو٥٠/ كريد افنتوس٥٠,34,1٫75,yes,9/24/2024 1:11:47 AM,4
22910F,الدفع بعد الوصول,Amman,سكادا سبيشلي ١٠٠/بوس ١٠٠/ ٢١٢ في اي بي ستاتي٥٠/ليبر ٥٠/ يرجى وضعهم بالبكج الاسوده ,0,1٫5,yes,9/24/2024 1:11:47 AM,4
22911F,الدفع بعد الوصول,Amman,جين بول جلتر١٠٠/جفنشي سوسيتي ١٠٠/يو انتنسلي٥٠/ بيربري هيرو ٥٠,34,1٫5,yes,9/24/2024 1:11:47 AM,4
22912F,الدفع بعد الوصول,Irbid,يو انتنسلي٥٠/ خمرة ٥٠,20,1٫75,yes,9/24/2024 1:11:47 AM,2
22913F,الدفع بعد الوصول,Amman,مكسيكو ١٠٠,0,1٫5,yes,9/24/2024 1:11:47 AM,1
22914F,الدفع بعد الوصول,Amman,مونت بلانك اكسبلور ٥٠,0,1٫5,yes,9/24/2024 1:11:47 AM,1
22915F,الدفع بعد الوصول,Amman,كريد افنتوس١٠٠/يو ١٠٠/ عود وود٥٠/ جين بول جلتر ٥٠,34,1٫5,yes,9/24/2024 1:11:47 AM,4
22916F,الدفع بعد الوصول,South Aghwar,بلغري تايجر ١٠٠/ خمرة ١٠٠/ سبايس بومب اكستري ٥٠ عدد٢,34,1٫75,yes,9/24/2024 1:11:47 AM,3
22917F,الدفع بعد الوصول,Amman,ليبر ١٠٠/ الرجاء وضعها بالكرتونه الزهريه ,19,1٫5,yes,9/24/2024 1:11:47 AM,1
22918F,الدفع بعد الوصول,Ajlun,سوفاج ١٠٠ عدد٢/ ون مليون ١٠٠,40,1٫75,No,9/24/2024 1:11:47 AM,3
22019F,الدفع بعد الوصول,Amman,بلو شانيل ١٠٠/نرسيسو الزهر١٠٠/ فرزاتشي نوير ١٠٠,34,1٫5,yes,9/24/2024 1:11:47 AM,3
22920F,الدفع بعد الوصول,Amman,فلانتينو البنية ١٠٠/ الي صعب جيرل اوف ناو ١٠٠/ ريد توباكو ٥٠/ذا ون ٥٠,34,1٫5,yes,9/24/2024 1:11:47 AM,4
22922F,الدفع بعد الوصول,Ajlun,هشيفات ١٠٠/ لاميل الكسير ١٠٠/ فيري سكسي ٥٠/ليبر ٥٠,34,1٫75,yes,9/24/2024 1:11:47 AM,4
22923F,الدفع بعد الوصول,Amman,يو انتنسلي ١٠٠/ بيربري هيرو ٥٠/ فيري سكسي ١٠٠/ ليبر ٥٠/ كل عبوتين بكيس,34,1٫5,yes,9/24/2024 1:11:47 AM,4
22924F,الدفع بعد الوصول,Amman,بوس بوتلد نايت١٠٠/بلو شانيل ١٠٠/توم فورد لوست شيري ٥٠ عدد٢,34,1٫5,yes,9/24/2024 1:11:47 AM,4
22925F,الدفع بعد الوصول,Amman,يو انتنسلي ١٠٠/بلو شانيل ١٠٠/هوجو بوس بوتلد نايت ٥٠/فيري سكسي ٥٠,34,1٫5,yes,9/24/2024 1:11:47 AM,4
22926F,الدفع بعد الوصول,Zarqa,يو انتنسلي١٠٠/ذا ون١٠٠/سكاندل رجالي٥٠/ جين بول جلتر٥٠,0,1٫75,yes,9/24/2024 1:11:47 AM,4
RTN2296F,الدفع بعد الوصول,Amman,جين بول جلتر٥٠,0,1٫5,No,9/24/2024 10:00:06 AM,1
RTN22924w,الدفع بعد الوصول,Amman,100مل كريد افنتوس +100مل انفكتوس جولوجن +50مل ايروس +50مل دنهل بلاك ,0,1٫5,No,9/24/2024 11:19:18 AM,4
RTN22910F,الدفع بعد الوصول,Amman,سكادا سبيشلي ١٠٠/بوس ١٠٠/ ٢١٢ في اي بي ستاتي٥٠/ليبر ٥٠/ يرجى وضعهم بالبكج الاسوده ,0,1٫5,No,9/24/2024 1:01:07 PM,4
RTN2291w,الدفع بعد الوصول,Zarqa,100مل ايفوريا انتنس +100مل لوسيل ابيض +50مل عنبر ليذر +50مل يو انتتسلي ,0,1٫75,No,9/24/2024 1:16:55 PM,4
RTN21933F,الدفع بعد الوصول,Irbid,ايروس١٠٠ عدد٢/ لاكوست وايت ٥٠ عدد٢,0,1٫75,No,9/24/2024 2:15:10 PM,4
RTN21927F,الدفع بعد الوصول,Salt,لاكوست بلاك ١٠٠/ لاكوست وايت ١٠٠/ع زوقك ٥٠,0,1٫75,No,9/24/2024 3:52:08 PM,3
RTN22926F,الدفع بعد الوصول,Zarqa,يو انتنسلي١٠٠/ذا ون١٠٠/سكاندل رجالي٥٠/ جين بول جلتر٥٠,0,1٫75,No,9/24/2024 4:23:56 PM,4
RTN2292F,الدفع بعد الوصول,Rumtha,دي مارلي اسود ١٠٠/امبر ليذر ١٠٠/الترا ميل ٥٠/ ارماني كود ٥٠,0,1٫75,No,9/24/2024 5:22:11 PM,4
RTN22910w,الدفع بعد الوصول,Amman,100مل جوتشي جيلتي بور هوم رجالي عدد 3  ,0,1٫5,No,9/24/2024 6:57:31 PM,3
2391w,الدفع بعد الوصول,Maan,100مل دولتشي غابانا ذا ون +100مل دي هيرمز +50مل سوفاج +50مل سترونجر ويذ يو انتنسلي ,34,1٫75,yes,9/25/2024 12:43:16 AM,4
2392w,الدفع بعد الوصول,Zarqa,100مل دولتشي غابانا ذا ون +100مل سوفاج +50مل ون مليون رجالي +50مل اوبسيشن,34,1٫75,yes,9/25/2024 12:43:16 AM,4
2393w,الدفع بعد الوصول,Amman,100مل ديور هوم انتنس +100مل التراميل +50مل مس ديور +50مل لانكوم ستاتي ,0,1٫5,yes,9/25/2024 12:43:16 AM,4
2394w,الدفع بعد الوصول,Jarash,100مل كريد افنتوس +100مل سترونجر ويذ يو +50مل جان بول لو ميل عدد 2 ,34,1٫75,yes,9/25/2024 12:43:16 AM,4
2395w,الدفع بعد الوصول,Amman,100مل ارماني كود+100مل فهرنهايت +50مل كريد افنتوس+50مل ايلي صعب ستاتي ,34,1٫5,yes,9/25/2024 12:43:16 AM,4
2396w,الدفع بعد الوصول,Amman,100مل كول ووتر ,10,1٫5,yes,9/25/2024 12:43:16 AM,1
2397w,الدفع بعد الوصول,Amman,100مل مونت بلانك بلانتينيوم +100مل دي هيرمز +50مل دولتشي غابانا كينغ +50مل هوجو بوس ,34,1٫5,yes,9/25/2024 12:43:16 AM,4
2398w,الدفع بعد الوصول,Salt,100مل توم فورد اومبير ليذر +100مل ارماني كود +50مل دي مارلي هالتان +50مل توكسيدو ,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23910w,الدفع بعد الوصول,Amman,100مل لينترديت جفنشي +100مل لانكوم لافي بيل ستاتي +50مل لينترديت جفنشي +50مل لانكوم ستاتي ,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23911w,الدفع بعد الوصول,Amman,100مل بلو شانيل عدد 2 ,0,1٫5,yes,9/25/2024 12:43:16 AM,2
23912w,الدفع بعد الوصول,Zarqa,100مل غوتشي فلورا +100مل كريد افنتوس +50مل مس ديور +50مل بلو شانيل ,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23913w,الدفع بعد الوصول,Amman,100مل ليبر +100مل ماي واي +50مل كلافين كلاي +50مل جورجيو ارماني سي ,34,1٫5,No,9/25/2024 12:43:16 AM,4
23914w,الدفع بعد الوصول,Jarash,100مل دي مارلي لايتون +100مل كريد افنتوس +50مل بويزن +50مل سكاندل ,34,1٫75,No,9/25/2024 12:43:16 AM,4
23915w,الدفع بعد الوصول,Zarqa,100مل دولتشي غابانا ذا ون +100مل توم فورد اومبير ليذر +50مل دولتشي غابانا ذا ون +50مل توم فورد اومبير ليذر ,34,1٫75,No,9/25/2024 12:43:16 AM,4
2391F,الدفع بعد الوصول,Amman,بويزن ١٠٠,0,1٫5,yes,9/25/2024 12:43:16 AM,1
2393F,الدفع بعد الوصول,Zarqa,جيو الشفافه ١٠٠/ بلو شانيل ١٠٠/كول واتر ٥٠/ ان لوف وذ يو ٥٠,34,1٫75,yes,9/25/2024 12:43:16 AM,4
2394F,الدفع بعد الوصول,Amman,بلو جينز ١٠٠/بلاك اوركيد ١٠٠/ بلو شانيل ٥٠/ مونت بلانك ليجندسبريت ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
2395F,الدفع بعد الوصول,Amman,هشيفات ١٠٠,19,0,No,9/25/2024 12:43:16 AM,1
2396F,الدفع بعد الوصول,Zarqa,الور سبورت اكستريم ١٠٠,19,1٫75,yes,9/25/2024 12:43:16 AM,1
2397F,الدفع بعد الوصول,Irbid,يو ١٠٠,19,1٫75,yes,9/25/2024 12:43:16 AM,1
2399F,الدفع بعد الوصول,Amman,ايفوريا رجالي ١٠٠/ ايدول ٥٠,0,1٫5,yes,9/25/2024 12:43:16 AM,2
23910F,الدفع بعد الوصول,Amman,فهرنهايت ١٠٠+٥٠/ لاكوست وايت ١٠٠+ ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23911F,الدفع بعد الوصول,Aqaba,ارماني كود ١٠٠,17,1٫75,yes,9/25/2024 12:43:16 AM,1
23912F,الدفع بعد الوصول,Jarash,سوفاج الكسير ١٠٠عدد٢/ايروس٥٠/يو ٥٠,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23913F,الدفع بعد الوصول,Irbid,٢١٢ ١٠٠/لاكوست وايت١٠٠/لاهوم لانوتاف سان لوران ٥٠/ جين بول جلتر٥٠,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23915F,الدفع بعد الوصول,Karak,سوفاج ١٠٠+٥٠/ لاكوست وايت ١٠٠/ كريد افنتوس ٥٠,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23916F,الدفع بعد الوصول,Amman,ديلينا اكسلوسف ١٠٠/ماي واي ١٠٠/ ليبر ٥٠/ ٢١٢ ستاتي ٥٠/ مس ديور ١٠٠,50,1٫5,No,9/25/2024 12:43:16 AM,5
23917F,الدفع بعد الوصول,Irbid,يو ١٠٠/ واي ١٠٠/ بلاك اوبيوم ٥٠/ واي اسود٥٠,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23918F,الدفع بعد الوصول,Zarqa,فيري سكسي ٥٠,0,1٫75,yes,9/25/2024 12:43:16 AM,1
23919F,الدفع بعد الوصول,South Aghwar,كريد افنتوس١٠٠/ فرزاتشي كريستال نوار ١٠٠/سوفاج الكسير ٥٠/ايروس٥٠,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23920F,الدفع بعد الوصول,Amman,اولمبيا ١٠٠/ ايروس١٠٠/الور هوم سبورت صوره ٥٠ عدد٢,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23921F,الدفع بعد الوصول,Amman,ون مليون ١٠٠/ يو انتنسلي١٠٠,25,1٫5,yes,9/25/2024 12:43:16 AM,2
23922F,الدفع بعد الوصول,Amman,جين بول جلتر١٠٩/ ارماني كود ١٠٠/سكاندل رجالي٥٠/ فيري سكسي ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23923F,الدفع بعد الوصول,Amman,لانوت لاهرم اف سان لوران ١٠٠/ واي اسود ١٠٠ / ريد توباكو ٥٠/. سوفاج الكسير ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23924F,الدفع بعد الوصول,Amman,ليل ملكي ١٠٠/دولتشي بور هوم ١٠٠/ ذا ون ٥٠/وصال٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23925F,الدفع بعد الوصول,Wadi Musa,ليبر انتنس١٠٠,19,1٫75,yes,9/25/2024 12:43:16 AM,1
23926F,الدفع بعد الوصول,Amman,ون مليون الدهبي والاسود ١٠٠/ فهرنهايت ١٠٠/نزسيسو باودر ٥٠/ بكرات روج ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23927F,الدفع بعد الوصول,Amman,ليدي مليون٥٠/ فيري سكسي٥٠,10,1٫5,yes,9/25/2024 12:43:16 AM,2
23928F,الدفع بعد الوصول,Amman,لافي بيل ١٠٠/ بزايت كريستال ١٠٠/سي الدهبيه٥٠/ان اوف وذ يو ٥٠,34,1٫5,No,9/25/2024 12:43:16 AM,4
23929F,الدفع بعد الوصول,Petra ,لايتون اكسلوسف ١٠٠/دي ما لي هالتان١٠٠/ديور هوم سبورت٥٠/ ذا ون ٥٠,34,1٫75,No,9/25/2024 12:43:16 AM,4
23930F,الدفع بعد الوصول,Amman,فيري سكسي ١٠٠ عدد٢/ ٢١٢ ستاتي٥٠/ جفنشي ارستبل٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23931F,الدفع بعد الوصول,Amman,الين ١٠٠/يو ستاتي١٠٠/فيري سكسي٥٠/ ليبر ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23932F,الدفع بعد الوصول,Amman,جيو شفافه ١٠٠/عود اصفهان ١٠٠/سي احمر ٥٠/ سو سكاندل ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23933F,الدفع بعد الوصول,Amman,انفكتوس فكتوري ١٠٠,19,1٫5,yes,9/25/2024 12:43:16 AM,1
23934F,الدفع بعد الوصول,Irbid,امبر نوماد١٠٠عدد٢/ امبر نوماد ٥٠ عدد٢,34,1٫75,yes,9/25/2024 12:43:16 AM,4
23935F,الدفع بعد الوصول,Amman,فرزاتشي بور هوم ١٠٠/كول واتر١٠٠/فلانتينو اومو٥٠/الور سبورت ٥٠,34,1٫5,yes,9/25/2024 12:43:16 AM,4
23936F,الدفع بعد الوصول,Amman,جين بول جلتر١٠٠,19,1٫5,yes,9/25/2024 12:43:16 AM,1
23938F,الدفع بعد الوصول,Irbid,واي ١٠٠/ اكوا جيو ابسولو١٠٠/ باد بوي كوبلت ٥٠/فراتشي برايت كريستال ٥٠,34,1٫75,yes,9/25/2024 12:43:17 AM,4
RTN2399F,الدفع بعد الوصول,Amman,ايفوريا رجالي ١٠٠/ ايدول ٥٠,0,1٫5,No,9/25/2024 10:19:59 AM,2
RTN2393w,الدفع بعد الوصول,Amman,100مل ديور هوم انتنس +100مل التراميل +50مل مس ديور +50مل لانكوم ستاتي ,0,1٫5,No,9/25/2024 12:13:03 PM,4
RTN23911w,الدفع بعد الوصول,Amman,100مل بلو شانيل عدد 2 ,0,1٫5,No,9/25/2024 1:52:47 PM,2
RTN22923w,الدفع بعد الوصول,Irbid,100مل ميغامير ,0,1٫75,No,9/25/2024 1:55:00 PM,1
RTN23927F,الدفع بعد الوصول,Amman,ليدي مليون٥٠/ فيري سكسي٥٠,11٫5,1٫5,No,9/25/2024 3:20:22 PM,2
2491F,الدفع بعد الوصول,Amman,واي١٠٠/ ايروس١٠٠/ ذا ون ١٠٠,34,1٫5,yes,9/26/2024 1:59:17 AM,3
